RECORD,MARKET_NAME,SUBMARKET_NAME,COUNTY,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,YEAR,MONTH,YEAR_MONTH,RENT_PER_SQFT_ACTUAL
1,Los Angeles - Metro,Hollywood Hills West,Los Angeles,"Joshua, The",,1353 North Martel Avenue,Los Angeles,CA,90046,34.0963163,-118.3510459,3238514141,87,73800,0.479,C+,C+,96.6,2493,2017,January,2017 January,2.47
2,Los Angeles - Metro,Beach Cities,Los Angeles,Manhattan Senior Villas,,1300 Parkview Avenue,Manhattan Beach,CA,90266,33.89889,-118.39227,3105464062,104,68640,2.46,C+,A,100,1300,2017,January,2017 January,1.92
3,Los Angeles - Metro,Beach Cities,Los Angeles,Elements 616,"Novella Redondo, Avalon Redondo",616 Esplanade Street,Redondo Beach,CA,90277,33.83239,-118.38912,3105430315,105,85130,1.184,B+,A,94.3,3332,2017,January,2017 January,3.49
4,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Riva,,1410 5th Street,Santa Monica,CA,90401,34.016898,-118.494229,4246250270,163,131355,1.2,A-,B+,92.6,3912,2017,January,2017 January,4.97
5,Los Angeles - Metro,Hawthorne,Los Angeles,Royal Oaks,,13601 Kornblum Avenue,Hawthorne,CA,90250,33.90817,-118.33781,3103550877,57,41655,1.18,C,C,100,1549,2017,January,2017 January,1.69
6,Los Angeles - Metro,East Torrance,Los Angeles,Harbor Cove,,945 Carson Street,Torrance,CA,90502,33.83299,-118.29195,3102126566,102,98940,2.223,B,C,100,1764,2017,January,2017 January,1.7
7,Los Angeles - Metro,East Torrance,Los Angeles,Gateway Court,,1306 Carson Street,Torrance,CA,90501,33.83115,-118.299895,3107828338,77,46920,0.763,C,B-,96.1,1698,2017,January,2017 January,2.1
8,Los Angeles - Metro,East Hollywood,Los Angeles,Mariposa Gardens,,533 North Mariposa Avenue,Los Angeles,CA,90004,34.0800163,-118.2996839,3236629956,71,47176,1.3,B-,B-,84.5,1931,2017,January,2017 January,2.68
9,Los Angeles - Metro,Mid Wilshire West,Los Angeles,Council,,4205 Council Street,Los Angeles,CA,90004,34.0755862,-118.3011374,2133826324,54,41555,0.5,C,C+,98.1,1832,2017,January,2017 January,1.99
10,Los Angeles - Metro,East Hollywood,Los Angeles,Vivian,,637 North Bronson Avenue,Los Angeles,CA,90004,34.0827156,-118.3180829,3239621890,50,25200,0.33,C-,B-,90,1818,2017,January,2017 January,3.08
11,Los Angeles - Metro,Mid Wilshire East,Los Angeles,Virgil View,,171 South Virgil Avenue,Los Angeles,CA,90004,34.071465,-118.287085,2134944841,54,40300,0.49,C+,B-,98.1,1636,2017,January,2017 January,2.26
12,Los Angeles - Metro,Hawthorne,Los Angeles,Catalina Terrace,Anastasi Construction Co Inc,13725 Chadron Avenue,Hawthorne,CA,90250,33.90628,-118.32921,3109734526,73,55584,1.356,C,C,100,1648,2017,January,2017 January,1.5
13,Los Angeles - Metro,San Pedro,Los Angeles,Portofino Townhomes,"Portofino Del Homes, Summerwind Townhomes",1625 West Pacific Coast Hwy,Wilmington,CA,90744,33.792349,-118.286189,3108343945,200,248061,11.88,B,B-,94.5,3120,2017,January,2017 January,2
14,Los Angeles - Metro,Hawthorne,Los Angeles,Chadron,,13622 Chadron Avenue,Hawthorne,CA,90250,33.9075229,-118.3280001,3106442151,60,55200,1.37,C,C,100,2379,2017,January,2017 January,1.98
15,Los Angeles - Metro,East Hollywood,Los Angeles,Madison Hancock Park,Rossmore Plaza,627 North Rossmore Avenue,Los Angeles,CA,90004,34.0826233,-118.3271386,3234613133,60,50186,0.52,B,A-,93.3,2916,2017,January,2017 January,3.25
16,Los Angeles - Metro,Hawthorne,Los Angeles,Oaktree,,13710 Chadron Avenue,Hawthorne,CA,90250,33.906842,-118.328071,3109781458,50,25300,0.896,C+,C,98,1479,2017,January,2017 January,2.36
17,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Sunset Barrington Gardens,,233 South Barrington Avenue,Los Angeles,CA,90049,34.0635708,-118.4693396,3104722750,183,153252,3.77,C,A-,95.6,2826,2017,January,2017 January,3.03
18,Los Angeles - Metro,Hawthorne,Los Angeles,Pacific West,Pacific Isle,13930 Chadron Avenue,Hawthorne,CA,90250,33.90467,-118.32833,3109892959,60,32550,1.06,C,C,95,1682,2017,January,2017 January,1.75
19,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Regency Detroit,,1530 North Detroit Street,Los Angeles,CA,90046,34.09899,-118.34532,3238769514,60,39400,0.53,B,B-,98.3,2246,2017,January,2017 January,2.92
20,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Promenade Towers,,123 South Figueroa Street,Los Angeles,CA,90012,34.0573887,-118.2528354,2136173777,611,498983,4.32,C+,B,96.9,2105,2017,January,2017 January,2.51
21,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Met, The","Metropolitan, The",950 South Flower Street,Los Angeles,CA,90015,34.0448125,-118.2620685,2134080830,270,206764,1.67,B,B,95.9,2522,2017,January,2017 January,3.34
22,Los Angeles - Metro,East Hollywood,Los Angeles,June,,1250 North June Street,Los Angeles,CA,90038,34.094036,-118.333924,3234646069,52,32748,0.35,C,C+,96.2,2182,2017,January,2017 January,2.2
23,Los Angeles - Metro,Hollywood Hills West,Los Angeles,La Brea,,1335 North La Brea Avenue,Los Angeles,CA,90028,34.0955185,-118.3443993,3238765575,61,49200,0.5,B-,C+,96.7,1968,2017,January,2017 January,2.24
24,Los Angeles - Metro,Mar Vista,Los Angeles,Aqua at Marina del Rey,"Aqua, Archstone Marina Terrace / Marina Terrace",4750 Lincoln Blvd,Marina Del Rey,CA,90292,33.9799151,-118.4366814,3108273992,500,470790,5.81,A,A,97.4,3171,2017,January,2017 January,3.09
25,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,1250 Long Beach,,1250 Long Beach Avenue,Los Angeles,CA,90021,34.0264215,-118.2409242,2136295539,113,161250,1.66,C+,C-,92,3177,2017,January,2017 January,1.95
26,Los Angeles - Metro,Los Feliz - Griffith Park,Los Angeles,Whitley House,El Padre,1963 North Cahuenga Blvd,Los Angeles,CA,90068,34.10687,-118.330915,3234656036,110,44925,0.62,C,B+,100,1199,2017,January,2017 January,2.35
27,Los Angeles - Metro,Mar Vista,Los Angeles,Westside,Archstone Westside,3165 Sawtelle Blvd,Los Angeles,CA,90066,34.0240116,-118.4301633,3103132100,204,187466,3.48,B+,B-,94.6,3147,2017,January,2017 January,3.12
28,Los Angeles - Metro,Marina Del Rey,Los Angeles,Mirabella,,13701 Marina Pointe Drive,Marina Del Rey,CA,90292,33.9851268,-118.4466639,3108220255,188,206070,2.51,A,A,96.8,3695,2017,January,2017 January,2.83
29,Los Angeles - Metro,Marina Del Rey,Los Angeles,"Westerly on Lincoln, The",Marina Pointe,13603 Marina Pointe Drive,Marina Del Rey,CA,90292,33.9857116,-118.4447735,3108226807,583,513070,5.56,B+,A,94.3,2963,2017,January,2017 January,3.22
30,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Brentwood Park,McClellan Plaza,1245 McClellan Drive,Los Angeles,CA,90025,34.0410221,-118.4697517,3102071967,63,75600,1.2,B,B,100,2741,2017,January,2017 January,2.39
31,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Renaissance Tower,,501 West Olympic Blvd,Los Angeles,CA,90015,34.0434707,-118.2609439,2136295501,205,148707,1.08,B+,B+,95.6,2340,2017,January,2017 January,3.2
32,Los Angeles - Metro,Bel Air,Los Angeles,Westwood Concord,,424 Veteran Avenue,Los Angeles,CA,90024,34.06945,-118.45451,3108241640,62,68800,0.53,C,B+,80.6,2980,2017,January,2017 January,2.48
33,Los Angeles - Metro,Mid Wilshire West,Los Angeles,San Marcos,,242 North Western Avenue,Los Angeles,CA,90029,34.075979,-118.308972,3234692785,76,41940,2,C+,C+,96.1,1380,2017,January,2017 January,1.67
34,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Spring Arcade, The",Mercantile Arcade Building,541 South Spring Street,Los Angeles,CA,90013,34.0466319,-118.2507265,2132399121,143,126436,5.06,B+,B-,99.3,2293,2017,January,2017 January,2.32
35,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,PE Lofts,Pacific Electric Lofts,610 South Main Street,Los Angeles,CA,90014,34.044069,-118.2491974,2134896631,314,279215,1.43,A,B-,98.7,2223,2017,January,2017 January,2.85
36,Los Angeles - Metro,Westlake North,Los Angeles,Belmont Station,Northwest Gateway,1304 West 2nd Street,Los Angeles,CA,90026,34.0611118,-118.2591665,2132509771,275,220540,2.41,A-,C,97.1,2432,2017,January,2017 January,2.77
37,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Avalon Santa Monica on Main,"Archstone Santa Monica on Main Street, 2000Main Street",2000 Main Street,Santa Monica,CA,90405,34.0065987,-118.4887867,3103922635,133,122377,1.54,A-,A,97,4581,2017,January,2017 January,4.71
38,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Living at Santa Monica - Biella,Santa Monica Collection - Biella,1411 7th Street,Santa Monica,CA,90401,34.0185493,-118.4916801,3103933500,59,37815,0.34,B+,B,91.5,3042,2017,January,2017 January,4.62
39,Los Angeles - Metro,Hawthorne,Los Angeles,Monterey Terrace,,13522 Chadron Avenue,Hawthorne,CA,90250,33.90854,-118.32789,3102631605,59,43650,1.18,C+,C,100,1643,2017,January,2017 January,1.53
40,Los Angeles - Metro,Beach Cities,Los Angeles,Heritage Pointe,,1801 Aviation Way,Redondo Beach,CA,90278,33.8712743,-118.380737,3103188418,141,84536,2.5,C,C,NA,2225,2017,January,2017 January,3.55
41,Los Angeles - Metro,Hawthorne,Los Angeles,14102 Lemoli Avenue,,14102 Lemoli Avenue,Hawthorne,CA,90250,33.90321,-118.330263,3106763525,52,37515,0.84,C,C,98.1,1485,2017,January,2017 January,1.52
42,Los Angeles - Metro,Central Hollywood,Los Angeles,Palazzo West at the Grove,Palazzo at Park La Brea,6220 West 3rd Street,Los Angeles,CA,90036,34.070332,-118.355783,3239392627,521,569868,6.41,A+,A,98.5,4237,2017,January,2017 January,2.87
43,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Gas Company Lofts,"Gas Company Lofts, The, South Village",810 South Flower Street,Los Angeles,CA,90017,34.0467371,-118.2603862,2139555700,251,219416,7.2,B-,B,96.8,2352,2017,January,2017 January,2.81
44,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Pegasus,,612 South Flower Street,Los Angeles,CA,90017,34.04943,-118.25749,2134309112,322,233443,1.04,A-,B-,98.4,2628,2017,January,2017 January,3.19
45,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Santa Fe Lofts,,121 East 6th Street,Los Angeles,CA,90014,34.0450583,-118.2491528,2136249090,132,118566,0.69,C+,B-,91.7,2285,2017,January,2017 January,2.51
46,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Metro 417,Subway Terminal Building,417 South Hill Street,Los Angeles,CA,90013,34.0500845,-118.2511794,2136200095,277,212481,1.67,B+,B+,89.5,2691,2017,January,2017 January,3.41
47,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Met Lofts,Metropolitan Lofts,1050 South Flower Street,Los Angeles,CA,90015,34.0430523,-118.2637281,2137471877,266,239787,1.78,A,B+,92.1,2950,2017,January,2017 January,3.17
48,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Lofts at the Security Building,"Security Building Lofts, The",510 South Spring Street,Los Angeles,CA,90013,34.04730261,-118.2496481,2136246022,153,102539,0.44,B,B-,89.5,2052,2017,January,2017 January,3.2
49,Los Angeles - Metro,Westlake North,Los Angeles,Piero,,616 South St. Paul Avenue,Los Angeles,CA,90017,34.052581,-118.260988,2132508080,560,415224,3.96,A-,B-,95.5,2472,2017,January,2017 January,3.07
50,Los Angeles - Metro,Westlake North,Los Angeles,Visconti,,1221 West 3rd Street,Los Angeles,CA,90026,34.0573402,-118.2586897,2139770972,297,283781,2.5,A,C+,93.6,2785,2017,January,2017 January,2.64
51,Los Angeles - Metro,Westlake South,Los Angeles,"Medici, The",Medici,725 South Bixel Street,Los Angeles,CA,90017,34.05026,-118.2649271,2136273901,632,499612,5.49,A+,B,95.4,2695,2017,January,2017 January,2.91
52,Los Angeles - Metro,Chinatown,Los Angeles,Orsini,,505 North Figueroa Street,Los Angeles,CA,90012,34.0621277,-118.2469188,2133469980,1072,892993,9.04,A,B,93.7,2571,2017,January,2017 January,2.75
53,Los Angeles - Metro,Koreatown,Los Angeles,Park Catalina,,690 South Catalina Street,Los Angeles,CA,90005,34.0601558,-118.2951753,2133839939,90,73762,0.75,B+,B-,95.6,2509,2017,January,2017 January,2.79
54,Los Angeles - Metro,Westwood,Los Angeles,2820 Sawtelle Blvd,,2820 South Sawtelle Blvd,Los Angeles,CA,90064,34.02803,-118.43196,3104770953,66,59254,0.41,B-,B-,100,2635,2017,January,2017 January,2.86
55,Los Angeles - Metro,Mar Vista,Los Angeles,Belle Fontaine,Alexan Fontaine,4077 Glencoe Avenue,Marina Del Rey,CA,90292,33.99011,-118.44336,3108276677,102,98638,1.82,A,A-,100,3367,2017,January,2017 January,3.05
56,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,AO Santa Monica,"Plaza at the Arboretum, The",2200 Colorado Avenue,Santa Monica,CA,90404,34.0271351,-118.475031,3105860709,350,326317,3.6,A,B+,90.6,4110,2017,January,2017 January,3.56
57,Los Angeles - Metro,Central Hollywood,Los Angeles,Villas at Park La Brea,,5555 West 6th Street,Los Angeles,CA,90036,34.0653947,-118.3487215,3235251778,250,234542,3.59,A,B,97.2,3570,2017,January,2017 January,3.06
58,Los Angeles - Metro,Marina Del Rey,Los Angeles,Saint Tropez,,13924 Panay Way,Marina Del Rey,CA,90292,33.9788588,-118.452793,3102200147,68,78898,0.91,B-,A+,100,3537,2017,January,2017 January,2.64
59,Los Angeles - Metro,West Hollywood,Los Angeles,Beverly Arnaz,"IMT Beverly Arnaz, Beverly Arnaz",467 Arnaz Drive,Los Angeles,CA,90048,34.070199,-118.383011,3102713147,100,105159,1.12,B+,A,95,3044,2017,January,2017 January,2.77
60,Los Angeles - Metro,Mid Wilshire East,Los Angeles,Plaza Lafayette,,401 South Lafayette Park Place,Los Angeles,CA,90057,34.0658899,-118.2823452,2133888808,56,51200,0.5,C+,B-,91.1,2591,2017,January,2017 January,2.39
61,Los Angeles - Metro,West Hollywood,Los Angeles,Parklane,,412 South Willaman Drive,Los Angeles,CA,90048,34.0715587,-118.3800525,3102711354,52,50150,0.418,B,A,98.1,2408,2017,January,2017 January,2.49
62,Los Angeles - Metro,Marina Del Rey,Los Angeles,Waves MDR,Tahiti Marina,13900 Tahiti Way,Marina Del Rey,CA,90292,33.9740198,-118.4515469,3108234504,149,178369,4.89,B,A+,94,5148,2017,January,2017 January,3.36
63,Los Angeles - Metro,Marina Del Rey,Los Angeles,Esprit Marina Del Rey,,13900 Marquesas Way,Marina Del Rey,CA,90292,33.97654,-118.45132,3103053700,437,517392,91.03,A+,A,96.6,4356,2017,January,2017 January,3.56
64,Los Angeles - Metro,El Segundo - Playa del Rey,Los Angeles,Avalon Playa Vista,Avalon del Rey,5535 Westlawn Avenue,Los Angeles,CA,90066,33.9801662,-118.4149805,3103063900,309,284648,4.5,A-,B+,98.4,3594,2017,January,2017 January,2.98
65,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Hikari,Little Tokyo,375 East 2nd Street,Los Angeles,CA,90012,34.0481035,-118.2396629,2136258500,128,94215,0.98,A,B,99.2,2460,2017,January,2017 January,3.04
66,Los Angeles - Metro,Marina Del Rey,Los Angeles,Jefferson at Marina Del Rey,"Alexan Marina, Alexan Marina Del Rey",3221 Carter Avenue,Marina Del Rey,CA,90292,33.9872859,-118.4458998,3108228600,298,352181,5.82,A,A,96.6,3808,2017,January,2017 January,2.74
67,Los Angeles - Metro,Westwood,Los Angeles,"Mission, The",,1350 Midvale Avenue,Los Angeles,CA,90024,34.0556152,-118.442932,3108640319,80,78160,0.76,B+,A-,98.8,3674,2017,January,2017 January,2.81
68,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Living at Santa Monica - Positano,Santa Monica Collection - Positano,606 Broadway,Santa Monica,CA,90401,34.0166301,-118.4912903,3103933500,50,39297,0.34,B,B,94,3487,2017,January,2017 January,4.44
69,Los Angeles - Metro,Chinatown,Los Angeles,Alpine,,813 Alpine Street,Los Angeles,CA,90012,34.064125,-118.2443595,2136807832,56,44980,0.51,B,B,98.2,2102,2017,January,2017 January,2.02
70,Los Angeles - Metro,East Hollywood,Los Angeles,Windsor at Hancock Park,"Marlowe, The",445 North Rossmore Avenue,Los Angeles,CA,90004,34.0784732,-118.3275553,3238569991,121,121706,1.85,A,A,96.7,3935,2017,January,2017 January,3.76
71,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Blackstone, The",Broadway Plaza Lofts,901 South Broadway,Los Angeles,CA,90015,34.0424049,-118.2565442,2134889182,82,54667,0.35,C+,B,98.8,2396,2017,January,2017 January,3.16
72,Los Angeles - Metro,Culver City,Los Angeles,Victor on Venice,10001 Venice Blvd,10001 Venice Blvd,Los Angeles,CA,90034,34.0230166,-118.4000101,3108151355,115,110231,1.43,A-,B,93.9,3459,2017,January,2017 January,3.08
73,Los Angeles - Metro,Westlake North,Los Angeles,Wilshire Royale,Wilshire Royal Howard Johnson,2619 Wilshire Blvd,Los Angeles,CA,90057,34.0612839,-118.2819555,2133651150,193,116370,0.77,C+,C+,97.4,1764,2017,January,2017 January,2.87
74,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Living at Santa Monica - Portofino,Santa Monica Collection - Portofino,1450 5th Street,Santa Monica,CA,90401,34.0161392,-118.4933781,3103933500,52,42830,0.38,B,B,94.2,3346,2017,January,2017 January,4.08
75,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Da Vinci,,909 West Temple Street,Los Angeles,CA,90012,34.0611602,-118.2494609,2132324600,526,441073,5,A,B,98.3,2795,2017,January,2017 January,3
76,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Factory Place Arts Complex,"Factory Place Lofts, Sixth Street Lofts",1308 Factory Place,Los Angeles,CA,90013,34.0389237,-118.2354333,2132164718,143,169411,1.32,B,C,97.9,2880,2017,January,2017 January,2.32
77,Los Angeles - Metro,Park La Brea South,Los Angeles,Avalon Wilshire,Avalon at Wilshire,5115 West Wilshire Blvd,Los Angeles,CA,90036,34.06225607,-118.3409202,3239350508,123,125106,1.13,A,A-,96.7,3548,2017,January,2017 January,2.74
78,Los Angeles - Metro,Adams-Normandie - Hoover,Los Angeles,Tuscany,,3770 South Figueroa Street,Los Angeles,CA,90007,34.016916,-118.282329,2137435000,120,128560,0.91,A-,B-,NA,5022,2017,January,2017 January,3.54
79,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Title Guarantee Building,,411 West 5th Street,Los Angeles,CA,90013,34.0491519,-118.2519185,2136273900,74,82460,0.23,A,B+,100,2563,2017,January,2017 January,2.43
80,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Living at Santa Monica - Genoa,Santa Monica Collection - Genoa,1418 7th Street,Santa Monica,CA,90401,34.018073,-118.492091,3103933500,50,36322,0.34,B,B,88,3266,2017,January,2017 January,4.27
81,Los Angeles - Metro,Koreatown,Los Angeles,Versailles Koreatown,Oxford Apartments,918 South Oxford Avenue,Los Angeles,CA,90006,34.0552128,-118.307367,2133815000,225,167694,1.44,A-,B-,97.8,2311,2017,January,2017 January,2.94
82,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Judson, The",424 South Broadway Lofts,424 South Broadway,Los Angeles,CA,90013,34.04907763,-118.2496564,2133796010,60,48298,0.21,B+,B,96.7,1849,2017,January,2017 January,2.18
83,Los Angeles - Metro,Hollywood Hills West,Los Angeles,7950 West Sunset,"Sunset Lofts, 7950 West Sunset",7950 West Sunset Blvd,Los Angeles,CA,90046,34.097444,-118.363282,3238487499,183,165014,1.17,A,A-,94.5,3147,2017,January,2017 January,3.4
84,Los Angeles - Metro,Hawthorne,Los Angeles,Pacific Place,,5211 Pacific Concourse Drive,Los Angeles,CA,90045,33.92703,-118.37101,3106439777,430,386722,3.32,A,B-,95.1,3086,2017,January,2017 January,2.74
85,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,717 Olympic,1717 West Olympic High-Rise Apartments Building,717 West Olympic Blvd,Los Angeles,CA,90015,34.0451132,-118.2633643,2136248439,151,157792,0.4,A+,A-,92.1,3596,2017,January,2017 January,3.51
86,Los Angeles - Metro,Hyde Park,Los Angeles,Marlton Villas,,4180 Marlton Avenue,Los Angeles,CA,90008,34.00854,-118.34125,3232956297,55,49680,2.05,B-,B+,98.2,1623,2017,January,2017 January,1.53
87,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Hillview Hollywood,"Hudson, Hudson Hollywood, Hillview Hollywood",6533 Hollywood Blvd,Hollywood,CA,90028,34.101874,-118.3323245,3234680200,54,39524,0.36,B,B-,20.4,2096,2017,January,2017 January,2.44
88,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Emerson, The",,225 South Grand Avenue,Los Angeles,CA,90012,34.0540384,-118.2511338,2132695007,271,243325,1.3,A-,A-,96.3,3411,2017,January,2017 January,3.49
89,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Union Lofts,"Union Bank & Trust Building, The Union -- 325 West Eighth",325 West 8th Street,Los Angeles,CA,90014,34.0443631,-118.2553612,2138617400,92,81837,2.52,A-,B-,97.8,2578,2017,January,2017 January,2.76
90,Los Angeles - Metro,Westlake North,Los Angeles,Bixel at Fifth,Bixel Court,1311 West 5th Street,Los Angeles,CA,90017,34.05527,-118.261845,2135504430,80,70818,0.75,B+,B-,100,2454,2017,January,2017 January,2.44
91,Los Angeles - Metro,Central Hollywood,Los Angeles,Palazzo East at Park La Brea,Palazzo East,348 South Hauser Blvd,Los Angeles,CA,90036,34.0690282,-118.3504599,3239375251,611,704430,7.81,A+,B,99.2,3902,2017,January,2017 January,3.18
92,Los Angeles - Metro,Adams-Normandie - Hoover,Los Angeles,City Park,,1246 West 30th Street,Los Angeles,CA,90007,34.027155,-118.290479,3237336157,136,129180,0.789,B-,C+,100,2997,2017,January,2017 January,3.02
93,Los Angeles - Metro,Adams-Normandie - Hoover,Los Angeles,University Gateway,,3335 South Figueroa Street,Los Angeles,CA,90007,34.0227992,-118.2798382,2137255060,421,379722,4,B,B-,NA,4221,2017,January,2017 January,4.47
94,Los Angeles - Metro,Hollywood Hills East,Los Angeles,MetWest on Sunset,,5837 West Sunset Blvd,Los Angeles,CA,90028,34.098411,-118.31722,3234675300,79,57269,0.6,A-,C+,92.4,2680,2017,January,2017 January,3.75
95,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Sakura Crossing,"San Pedro, Liitle Tokyo-Block 8 Phase 4",235 South San Pedro Street,Los Angeles,CA,90012,34.048487,-118.242559,2136259200,230,175855,1.25,B+,B,99.1,2493,2017,January,2017 January,2.98
96,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Reserve Luxury Lofts, The",,409 West Olympic Blvd,Los Angeles,CA,90015,34.04253703,-118.2595384,2134894111,79,96955,0.59,A-,B,97.5,3029,2017,January,2017 January,2.71
97,Los Angeles - Metro,Westlake North,Los Angeles,Canvas L.A.,"Broadstone at Beaudry, Broadstone Los Angeles",138 North Beaudry Avenue,Los Angeles,CA,90012,34.05975,-118.25334,2139778866,210,178367,2.03,A,C+,93.8,2667,2017,January,2017 January,2.86
98,Los Angeles - Metro,East Hollywood,Los Angeles,Instrata Sunset Vine Tower,Sunset Vine Tower,1480 Vine Street,Los Angeles,CA,90028,34.0976204,-118.326312,3238360123,64,71565,0.81,A,B,87.5,5119,2017,January,2017 January,4.19
99,Los Angeles - Metro,Chinatown,Los Angeles,Mozaic at Union Station,"Axis at Union Station, Union Station Village",880 North Alameda Street,Los Angeles,CA,90012,34.05757517,-118.2370734,2136179501,272,252572,2.75,A,B,98.5,2459,2017,January,2017 January,2.61
100,Los Angeles - Metro,Westlake North,Los Angeles,Glo,Wilshire Court,1050 Wilshire Blvd,Los Angeles,CA,90017,34.0518669,-118.2629136,2132901900,201,201549,1.79,A,B,98.5,2836,2017,January,2017 January,2.89
101,Los Angeles - Metro,Westlake South,Los Angeles,"Flat, The",,750 Garland Avenue,Los Angeles,CA,90017,34.05063451,-118.2668367,2136233528,205,82000,1.01,C,C,86.8,1817,2017,January,2017 January,3.59
102,Los Angeles - Metro,Central Hollywood,Los Angeles,Boulevard on Wilshire,"Metro at 5353 Wilshire, Museum Gardens on Miracle Mile",5353 Wilshire Blvd,Los Angeles,CA,90036,34.062464,-118.345317,3239377001,95,85716,0.54,B,B-,95.8,3174,2017,January,2017 January,3.25
103,Los Angeles - Metro,Mid Wilshire West,Los Angeles,Avana on Wilshire,"Gardens at Wilshire Center, The",635 South Hobart Blvd,Los Angeles,CA,90005,34.0622822,-118.3055981,2133862100,159,127492,1.37,A-,B,91.2,2893,2017,January,2017 January,2.88
104,Los Angeles - Metro,Hollywood Hills West,Los Angeles,"Avenue Hollywood, The","Avenue, The, Madrone",1619 North La Brea Avenue,Hollywood,CA,90028,34.100524,-118.345219,3238761619,180,197611,1.65,A+,B-,96.7,3623,2017,January,2017 January,3.21
105,Los Angeles - Metro,Hollywood Hills East,Los Angeles,1724 Highland,"Jefferson at Hollywood, The, Highland Avenue Mixed-Use",1724 North Highland Avenue,Hollywood,CA,90028,34.1023719,-118.3384794,3234694000,270,242974,2.11,A,B+,78.1,2952,2017,January,2017 January,2.91
106,Los Angeles - Metro,Park La Brea North,Los Angeles,5550 Wilshire at Miracle Mile,Legacy at Wilshire Miracle Mile,5550 Wilshire Blvd,Los Angeles,CA,90036,34.0620879,-118.3500722,3239375550,163,215709,1.94,A+,B+,93.3,3973,2017,January,2017 January,3
107,Los Angeles - Metro,Hollywood Hills West,Los Angeles,La Fontaine,,1333 North Curson Avenue,West Hollywood,CA,90046,34.095153,-118.355313,3238459701,58,79200,0.63,A,B,96.6,3604,2017,January,2017 January,3.12
108,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Luxe Villas,,11640 Mayfield Avenue,Los Angeles,CA,90049,34.05241207,-118.461596,3108203100,59,59181,0.52,A,A,47.5,4304,2017,January,2017 January,3.73
109,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,National City Tower Lofts,Spring Street Apartments,810 South Spring Street,Los Angeles,CA,90014,34.04276,-118.253591,2136233777,93,87334,0.24,A-,B-,96.8,2500,2017,January,2017 January,2.64
110,Los Angeles - Metro,Culver City,Los Angeles,M Lofts,,3425 Motor Avenue,Los Angeles,CA,90034,34.0271542,-118.409441,3102803900,115,46737,0.73,B,C+,99.1,2537,2017,January,2017 January,5.61
111,Los Angeles - Metro,Park La Brea North,Los Angeles,Desmond at Wilshire,,5520 Wilshire Blvd,Los Angeles,CA,90036,34.061609,-118.349065,3106830677,175,150385,2.21,A,B+,97.1,3966,2017,January,2017 January,3.97
112,Los Angeles - Metro,Santa Monica - Brentwood,Los Angeles,Living at Santa Monica - Lugano,Santa Monica Collection - Lugano,626 Broadway,Santa Monica,CA,90401,34.0169768,-118.4908762,3103933500,50,30135,0.35,B,B,93.8,2943,2017,January,2017 January,4.48
