RECORD,MARKET_NAME,SUBMARKET_NAME,COUNTY,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,YEAR,MONTH,YEAR_MONTH,RENT_PER_SQFT_ACTUAL
9403,Los Angeles - Metro,Westlake North,Los Angeles,Lake View Mansion,,433 South Lake Street,Los Angeles,CA,90057,34.06193,-118.27509,2133887368,81,63330,0.648,C,C+,100,1739,2019,July,2019 July,2.13
9404,Los Angeles - Metro,Mar Vista,Los Angeles,Tribeca Urban,,4108 Del Rey Avenue,Marina Del Rey,CA,90292,33.9884127,-118.4449047,3105825100,77,70980,1.42,A,A-,100,3718,2019,July,2019 July,3.77
9405,Los Angeles - Metro,Mid Wilshire East,Los Angeles,515 Lafayette,,515 South Lafayette Park Place,Los Angeles,CA,90057,34.064283,-118.283061,2133887368,54,51750,0.49,C,B-,98.1,1764,2019,July,2019 July,1.76
9406,Los Angeles - Metro,Chinatown,Los Angeles,Brownstone Lofts,"Bellevue Lofts, Brookshire Manor",1168 Bellevue Avenue,Los Angeles,CA,90012,34.0659885,-118.251703,3238284320,55,41550,0.84,C+,B-,98.2,2395,2019,July,2019 July,3.48
9407,Los Angeles - Metro,Mid Wilshire East,Los Angeles,Southwest,,315 South Virgil Avenue,Los Angeles,CA,90020,34.0686945,-118.2870913,2137399949,50,35130,0.5,B-,B-,96,1702,2019,July,2019 July,2.32
9408,Los Angeles - Metro,Culver City,Los Angeles,Overland,,3848 Overland Avenue,Culver City,CA,90232,34.0177505,-118.4058664,3108393647,100,55560,0.471,C,B,89,1652,2019,July,2019 July,3.27
9409,Los Angeles - Metro,Mid Wilshire West,Los Angeles,Wilshire Catalina Ritz,Catalina Ridge,540 South Catalina Street,Los Angeles,CA,90020,34.06411,-118.29494,2133870654,88,56400,0.623,C,B-,96.6,1801,2019,July,2019 July,2.8
9410,Los Angeles - Metro,Mid Wilshire West,Los Angeles,Kingsley Grand,Kingsley Plaza,449 South Kingsley Drive,Los Angeles,CA,90020,34.0657668,-118.303115,2132520012,90,75000,0.818,B,B-,86.7,2183,2019,July,2019 July,2.49
9411,Los Angeles - Metro,Mid Wilshire West,Los Angeles,Hobart Villa,,445 South Hobart Blvd,Los Angeles,CA,90020,34.065694,-118.305735,2133803566,68,54530,0.619,C-,B-,97,2013,2019,July,2019 July,2.45
9412,Los Angeles - Metro,Park La Brea South,Los Angeles,Hancock Terrace,,538 South Manhattan Place,Los Angeles,CA,90020,34.064024,-118.30997,2133836701,67,48575,0.62,C,B+,95.5,1837,2019,July,2019 July,2.51
9413,Los Angeles - Metro,Park La Brea South,Los Angeles,Park Gramercy,,550 South Gramercy Place,Los Angeles,CA,90020,34.063878,-118.312491,2133882132,68,64400,0.619,C,B+,83.1,1713,2019,July,2019 July,1.9
9414,Los Angeles - Metro,Central Hollywood,Los Angeles,Brighton Villas,,318 South Detroit Street,Los Angeles,CA,90036,34.0682079,-118.3449129,3239302213,62,45700,0.502,B-,C+,100,2092,2019,July,2019 July,2.84
9415,Los Angeles - Metro,Central Hollywood,Los Angeles,CloverdaleTowers,,340 South Cloverdale Avenue,Los Angeles,CA,90036,34.067727,-118.3459567,3239360322,59,49900,0.54,C+,B-,79.7,2143,2019,July,2019 July,2.68
9416,Los Angeles - Metro,Central Hollywood,Los Angeles,Wilshire Museum Towers,Museum Towers,414 Cloverdale Avenue,Los Angeles,CA,90036,34.0663745,-118.3459428,3239368932,58,46100,0.537,B,C+,87.9,2355,2019,July,2019 July,2.98
9417,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Garment Lofts,,217 East 8th Street,Los Angeles,CA,90014,34.041641,-118.251572,2132289955,77,60990,0.16,A,C+,88.3,2499,2019,July,2019 July,3.05
9418,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,"Maxfield Lofts, The",,819 Santee Street,Los Angeles,CA,90014,34.041153,-118.252299,2132673822,96,66569,0.2,A,C+,98.9,2363,2019,July,2019 July,3.33
9419,Los Angeles - Metro,Downtown Los Angeles,Los Angeles,Avant,AVANT South Park,1420 South Figueroa Street,Los Angeles,CA,90015,34.0381354,-118.2691579,4244007744,440,310638,2.19,A,B+,99.3,2318,2019,July,2019 July,3.41
9420,Los Angeles - Metro,Hawthorne,Los Angeles,Bell South Bay,Avaire South Bay,11622 Aviation Blvd,Inglewood,CA,90304,33.928848,-118.378051,3107257030,264,215103,3.03,A,C+,96.2,3262,2019,July,2019 July,3.65
9421,Los Angeles - Metro,Central Hollywood,Los Angeles,Masselin Park West,,5700 West 6th Street,Los Angeles,CA,90036,34.0646294,-118.3529211,3239341600,113,100850,1.05,B,B+,92.9,2819,2019,July,2019 July,3.07
9422,Los Angeles - Metro,West Hollywood,Los Angeles,Terraces at the Grove,Sweetzer Chalet,110 South Sweetzer Avenue,Los Angeles,CA,90048,34.0740145,-118.3696401,3237826897,56,49200,0.528,C+,B+,98.2,3039,2019,July,2019 July,3.33
9423,Los Angeles - Metro,El Segundo - Playa del Rey,Los Angeles,Del Rey Club,,8000 West Manchester Avenue,Los Angeles,CA,90293,33.959231,-118.435508,3103064777,203,166020,1.55,A-,A-,97,2572,2019,July,2019 July,3.17
